split,roc_auc,pr_auc,brier,f1,recall,precision,threshold
train,0.7669468400079021,0.40807243342183025,0.20695771286510645,0.35722848237832655,0.6602658788774003,0.24485100788781772,0.5
val,0.7690195749713928,0.4066440119650604,0.2061870773547852,0.35384615384615387,0.6524822695035462,0.24274406332453827,0.5
test,0.7655863486949183,0.40244438582110525,0.2065001238531429,0.35365545155578043,0.6606805293005671,0.24145077720207253,0.5
