feature,mean_low_uncertainty,mean_high_uncertainty,difference_high_minus_low
contact_unknown,0.3228859390363815,0.007717750826901874,-0.31516818820947967
housing_no,0.40486725663716816,0.8831312017640573,0.4782639451268892
balance,-0.04593522741199735,0.3460660036346807,0.39200123104667806
campaign,0.035471031191125955,-0.31540762352987933,-0.35087865472100527
marital_married,0.6049655850540806,0.5744211686879823,-0.03054441636609828
