split,roc_auc,pr_auc,brier,f1,recall,precision,threshold
val_calibrated,0.7690195749713928,0.4066440119650604,0.08590340407278868,0.2928637627432808,0.1867612293144208,0.6781115879828327,0.5
test_calibrated,0.7655863486949183,0.40244438582110525,0.08618021653702651,0.29098966026587886,0.18620037807183365,0.6655405405405406,0.5
